,ACCT_ID_M,DIRECT_DEBIT_FLAG,NUM_PAYMENT_CHALLENGED_6M,NUM_REFUNDS_3M,CHANNEL_PAY_APOST_12M,CHANNEL_PAY_BPAY_12M,CHANNEL_PAY_BPOINT_12M,CHANNEL_PAY_DD_SAVING_12M,CHANNEL_PAY_DD_CREDIT_12M
225157,24009721,0,0,0,3,0,2,0,0
1967181,23394547,1,0,0,0,0,0,26,0
1079888,4200729,1,0,0,0,0,0,0,4
2034038,8852501,0,0,0,0,3,0,0,0
1961691,14671635,1,0,0,0,0,0,12,0
1641727,19144385,0,0,0,0,4,0,0,0
2154233,1358465,0,0,0,0,4,0,0,0
716646,23268427,0,0,0,0,3,1,0,0
880808,24988987,1,0,0,0,0,0,0,1
455647,20844445,0,0,0,0,2,1,0,0
1928442,23543471,0,0,0,0,0,4,0,0
1752712,8492951,0,0,0,0,4,0,0,0
1115578,4417089,0,0,0,4,0,0,0,0
1673193,22854787,0,0,0,0,3,0,0,0
1081831,13416173,0,0,0,5,0,0,0,0
65787,18224399,0,0,0,0,3,0,0,0
2034108,3308653,0,0,0,0,4,0,0,0
663743,24156389,1,0,0,0,0,3,0,0
311484,21984193,0,0,0,0,4,0,0,0
1843233,13903347,1,0,0,0,0,0,4,0
834584,601767,0,0,0,0,4,0,0,0
942339,5859975,0,0,0,0,46,0,0,0
1880484,3095835,1,0,0,0,0,0,4,0
2114028,24002817,0,0,0,0,3,4,0,0
1641620,7799203,0,0,0,0,4,0,0,0
1908742,25537757,1,0,0,0,0,0,0,0
1193193,25211449,0,0,0,0,0,0,0,0
2052991,16351713,0,0,0,0,4,0,0,0
2183829,23614469,1,0,0,0,0,0,4,0
901836,24477541,0,0,0,0,0,0,0,0
613022,22078433,0,0,0,0,4,0,0,0
2319009,9134429,1,0,0,0,0,0,4,0
398747,19910907,1,0,0,0,0,0,0,4
2126532,1702759,1,0,0,0,0,0,4,0
1252755,2566587,1,0,0,0,0,0,52,0
2073437,6500655,0,0,0,0,26,0,0,0
2158605,52123,0,0,0,0,4,0,0,0
694685,9402421,0,0,0,0,4,0,0,0
503692,13845479,0,0,0,2,2,0,0,0
1099932,8731303,0,0,0,4,0,0,0,0
771430,22983693,0,0,0,0,4,1,0,0
2221199,25122567,0,0,0,0,0,1,0,0
1497744,6717227,0,0,0,0,0,4,0,0
726091,20670709,1,0,0,0,0,0,52,0
1304613,24032649,0,0,0,0,4,0,0,0
669505,16197193,1,0,0,0,0,0,4,0
1394812,23839175,0,0,0,0,0,4,0,0
956121,24432175,0,0,0,0,0,2,0,0
1020002,17643073,0,0,0,0,4,0,0,0
1316668,21046293,1,0,0,0,0,0,0,4
1251749,24330963,0,0,0,0,0,0,0,0
996167,22779215,0,0,0,0,0,4,0,0
1857867,25425417,0,0,0,0,0,0,0,0
2011223,20495177,0,0,0,0,23,0,0,0
358877,1335355,0,0,0,0,4,0,0,0
