,ACCT_ID_M,PREMISE_POSTCODE
2010786,3288229,3076
277890,24773287,2529
1778408,5400511,3032
156711,21331339,2763
822866,11927891,2106
2168278,24441527,2261
874106,6547993,3021
1819476,25038135,5062
810568,23949455,3163
709235,14916673,2141
1153470,22426147,2217
1308843,9503319,2121
758684,9789835,4061
884951,24442293,2101
1316780,20277357,3840
1857766,23814415,3223
797187,3519715,2177
295498,24916581,3181
149617,25108489,3029
1135217,21175411,2165
929872,6435303,2261
315097,23344815,3280
2228518,18393805,2259
147181,22850349,2303
671248,16255699,3036
1949027,24238963,2127
668919,2871295,2229
1596116,23548949,2041
1150909,21727605,2750
1526868,23904565,3930
916193,16982763,3101
245441,22374407,2762
969872,20675013,3200
926305,6375995,2260
93823,23162363,2217
1017587,357947,2251
684451,1693475,2040
1663180,19755475,3880
1042091,18890053,2762
484019,17390895,2069
2091311,3930617,3152
1235139,20559001,3075
907447,18201631,2529
697487,24045269,4152
381707,22235445,2321
2104314,13974391,2165
1818800,24540765,5023
1813162,5133635,2217
921618,24266247,2067
265570,2179287,3977
1441804,6142499,2048
403738,24847379,2150
853599,12751971,5125
601998,2789419,4227
1204766,22478575,2026
1567218,243977,3173
415234,22057769,2133
263403,8929215,3089
1670738,24101055,3496
1588738,18077265,3131
781093,22428611,2148
1519300,14429235,2148
2079212,13264337,2198
341228,17574471,2088
597738,2575233,2045
1047932,24952503,4065
873681,11828239,2234
2256969,24830781,3544
20316,22870983,2606
585370,4913603,2224
2285717,10390649,2317
128149,23743299,2232
2196462,10130849,3023
144656,20940863,3173
1190249,22258869,3217
1473527,849577,3555
2235318,20980499,4556
758772,19367987,3030
1955140,9106353,2065
393290,19805047,3133
372148,13795189,2330
302780,8607119,2011
574310,12065093,2039
2065075,10036103,2138
1071378,2158329,3088
1627201,2482167,2155
438156,19071731,3930
291552,16229025,2207
679391,5121233,2617
2049733,14275685,3965
131943,24309189,2205
1098924,18568669,2026
1522285,23824607,3204
1128277,22160721,2155
2178762,22079137,4069
2180845,21615373,3030
499171,24457285,2320
1552240,9921599,3175
1678235,19129701,2176
1634125,25385111,2000
120896,21708775,3006
1491793,9920389,2330
1356717,4248133,2026
237758,19328705,2443
1958031,10132381,3214
577402,22221689,3064
2205279,24270295,2046
1094424,10488447,3134
113240,23260815,3150
2286758,16622799,3377
1456307,19837323,2076
1939664,5355525,2319
116370,12067851,2317
2316709,24909899,2018
2066669,4092235,3820
735096,25575975,3505
1044383,16193347,2148
409009,952945,2122
12478,16851813,3764
1276299,10015693,2009
1889787,24843343,3555
976375,23927569,3004
1181931,1772085,2318
1019702,18019427,3072
15655,18129971,3044
1128513,3682743,2190
762819,9689793,2223
427803,13114759,3174
2165934,24347165,2095
781769,4099259,2207
82791,6787749,2340
302706,6683473,3156
1332435,18225523,2444
1126588,3831143,4076
1358450,18381131,3054
1163396,11861283,3851
2120023,6976871,2076
899770,25142205,2026
57197,23443947,3429
352240,24716195,3280
2244875,7259223,2067
679902,24716179,3163
1823256,122297,2291
95392,24991193,2101
641864,23606241,2539
1131075,7494127,2234
1674970,7591003,2037
1795535,22350961,3043
