,ACCT_ID_M,OFFER_CHANNEL_CODE,ACQ_BROKER_EVER,ACQ_EXTERNAL_EVER,ACQ_INTERNAL_EVER,DEPT_Sales Chat
242083,23228637,NBSC,0,0,1,
754717,23891369,DIGITAL,0,0,1,
2282308,4573867,ONLINETPU,0,1,0,
1030294,25426343,DIGITAL,0,0,1,
1032509,4514623,NBSC,0,0,1,
200174,18761713,ONLINETPU,0,0,1,
1477668,13461985,NBSC,0,0,1,
608074,16921153,ONLINETPU,0,0,1,
841128,14635359,NBSC,0,1,1,
1967513,23814943,ONLINETPU,0,0,1,
1844783,21322147,NBSC,0,0,1,
1145864,20607505,ONLINETPU,0,0,1,
929863,21636899,CONNECTNOW,0,1,1,
2225608,12333697,,0,0,1,0.0
526120,13426673,,0,0,0,0.0
777971,6528241,NBSC,0,0,1,
1301557,18798919,ONLINETPU,0,0,1,
741379,5216583,,0,0,0,
12086,22063865,NBSC,0,0,1,
852636,6574077,NBSC,0,0,1,
321435,4065275,,0,0,0,
379175,20658365,NBSC,0,1,0,
184655,24077767,NEWCON,0,1,0,
793641,10929901,NAV,0,1,1,0.0
438155,7848695,NAV,0,1,1,
1591195,12100357,DIGITAL,0,0,1,
1154784,16459533,NAV,0,0,1,
363451,8935295,ONLINE,0,0,1,
10795,6899423,DIGITAL,0,0,1,
1317597,14808821,DIGITAL,0,0,1,
1334021,8712395,,0,0,0,
1105527,22878121,ONLINETPU,0,0,1,
1479951,18712057,NBSC,0,0,1,
1239217,20006015,NBSC,0,0,1,
2123132,11060985,ONLINETPU,0,1,0,
2062399,6727625,NAV,0,1,1,
1137807,24897373,ONLINETPU,0,0,1,
2141093,11191329,ONLINETPU,0,0,1,
1440525,2911815,NBSC,0,1,1,
2268338,12908185,,0,0,0,
669484,18552903,ONLINETPU,0,0,1,
2017034,15866861,,0,0,0,
2182816,19333641,NBSC,0,0,1,
476484,23173033,BEC,0,1,0,
31473,20331769,NBSC,0,0,1,0.0
1367567,12969303,DIGITAL,0,0,1,
957723,22783491,ONLINETPU,0,0,1,
949116,12057537,ONLINETPU,0,0,1,
940620,16261687,CST,0,0,1,
1059437,10586227,,0,0,0,
1896570,8737235,NBSC,0,0,1,0.0
1906149,21176489,ONLINETPU,0,0,1,0.0
139085,676945,ONLINETPU,0,0,1,
81579,9445719,,0,0,0,
1294164,5489457,CIC_SRV,0,0,1,
844903,23845455,DIGITAL,0,0,1,
703390,1794203,NBSC,0,0,1,
970766,18711349,NBSC,0,0,1,
188065,24905603,NBSC,0,1,0,
1691293,23475697,NBSC,0,0,1,0.0
1674076,25268853,ONLINETPU,0,1,0,
2003486,24795507,NBSC,0,0,1,0.0
602089,21704029,DIGITAL,0,0,1,
102416,19414245,NBSC,0,0,1,
1863194,4638193,CST,0,0,1,
1093370,16415341,,0,0,0,
1564593,19821203,NBSC,0,0,1,
1841841,10269161,ONLINETPU,0,1,0,
746028,152441,,0,0,0,
1090353,12967441,NBSC,0,0,1,
970876,3568827,DIGITAL,0,0,1,
651057,1068033,NBSC,0,1,0,
2116277,12600165,CIC_SAL,0,0,1,0.0
1419844,20264009,ONLINETPU,0,0,1,
641954,24758327,ONLINETPU,0,0,1,
2038362,23128813,NBSCADMIN,0,0,1,
1608096,830999,NBSC,0,0,1,
1238825,15443011,NBSC,0,0,1,
270027,19059173,NBSC,0,0,1,
205026,25216263,ONLINETPU,0,1,0,
1478438,18297875,NBSC,0,0,1,0.0
568006,9512237,DIGITAL,0,0,1,
1344764,5750015,NBSC,0,0,1,
1409020,7773979,ONLINE,0,0,1,
308345,21714683,ONLINETPU,0,0,1,0.0
1098340,16843607,ONLINE,0,0,1,
619674,2424371,CST,0,0,1,
649771,1185325,AEGIS,0,1,0,
2168171,23727715,ONLINETPU,0,0,1,
1777825,757067,ONLINETPU,0,0,1,
1807335,6316945,CIC_SAL,0,0,1,0.0
2049225,5713163,ONLINETPU,0,0,1,
2182100,8302989,DIGITAL,0,0,1,
867012,24501987,DIGITAL,0,0,1,
2223639,24757419,NEWCON,0,1,0,
1715350,1875705,CST,0,0,1,
1542304,23408299,CIC_SAL,0,0,1,0.0
2266394,10993317,DIGITAL,0,0,1,
1845614,7746797,NEWCON,0,0,1,
2119738,19403655,ONLINETPU,0,1,1,0.0
714320,8401919,,0,0,0,0.0
796639,19287373,NBSC,0,0,1,0.0
1178510,24545869,ONLINETPU,0,0,1,
1648624,20962515,NBSC,0,1,1,
1647105,9886733,NBSC,0,0,1,0.0
1283881,23368143,ONLINETPU,0,0,1,0.0
946329,15803309,,0,0,0,
332583,23310863,ONLINETPU,0,0,1,0.0
701010,24125139,,0,0,0,
2258451,23012419,NBSC,0,0,1,
1606023,4449655,,0,0,0,
1957144,8978775,ONLINETPU,0,1,1,
1905849,22160243,DIGITAL,0,0,1,
942686,19880885,ONLINETPU,0,1,0,
30584,21761621,ONLINETPU,0,0,1,
604350,5917779,NBSC,0,0,1,
1651613,20706661,DIGITAL,0,0,1,
970628,16486495,NBSC,0,0,1,
539435,16234611,,0,0,0,
1657064,652073,NBSC,0,0,1,
47468,1365079,DIGITAL,0,0,1,
381069,516675,NBSC,0,0,1,
1759316,12426579,NBSC,0,0,1,
263306,18029651,NBSC,0,0,1,
2036331,18624495,NBSC,0,0,1,
2163993,19328035,ONLINETPU,0,0,1,
789044,23937179,DIGITAL,0,0,1,0.0
850190,19728553,NBSC,0,0,1,
986307,6202625,NBSC,0,0,1,
818114,19087673,NBSC,0,1,0,
2207069,21490857,ONLINETPU,0,0,1,
1932710,22741443,DIGITAL,0,0,1,
1311258,20799291,NBSC,0,0,1,0.0
708555,7696243,NBSC,1,1,0,
192394,11467897,,0,0,0,
1782333,25593791,ONLINETPU,0,1,0,
1959152,1595253,ONLINETPU,0,1,1,
321057,18430975,NEWCON,0,0,1,0.0
503022,21992531,NBSC,0,0,1,
1457935,19946753,ONLINETPU,0,0,1,
1560091,24694089,DIGITAL,0,0,1,
675931,22718407,ONLINETPU,0,0,1,
2249256,17759469,NBSC,0,0,1,
307206,22037261,NBSC,0,0,1,
1307407,24551781,NEWCON,0,1,0,
291394,22158631,CIC_SAL,0,0,1,
916986,23632511,ONLINETPU,0,0,1,
1669983,24251181,NBSC,0,0,1,0.0
979407,18671247,ONLINETPU,0,1,1,
130769,24446771,DIGITAL,0,0,1,0.0
2209595,17093103,DIGITAL,0,0,1,
583617,20246697,NBSC,0,0,1,
1398290,25009047,CIC_SAL,0,0,1,0.0
799752,20658079,NEWCON,0,1,1,
929059,14159375,UNK,0,0,1,
890684,17021795,DIGITAL,0,0,1,
716406,25110263,DIGITAL,0,0,1,0.0
863104,23822517,NEWCON,0,1,0,
1154256,9988473,NBSC,0,0,1,0.0
508346,5564539,NBSC,0,0,1,
1832988,6180713,NBSC,0,0,1,
377109,21416713,NBSC,0,0,1,
1231021,24016991,CIC_SAL,0,0,1,
1364876,17866893,CST,0,0,1,
933748,2710951,NBSC,0,0,1,
908495,16780667,NBSC,0,0,1,0.0
1079630,8271997,CIC_SAL,0,0,1,
