,ACCT_ID_M,CVM_TOTAL_BILL_GROSS,CVM_AN_PERIOD_GM,CVM_REV_BILLED_DAYS,CVM_HOURS_WATCHED_TOTAL,CVM_SPORTS_HOURS_WATCHED_TOTAL,CVM_REV_LOYALTY_R_R_AMT
1294124,22733629,97.25786666666666,143.8212764608,36.0,2051.1293672727274,,
65044,17487093,128.96010000000004,76.8033,364.0,381.27272727272725,,
2225135,19603245,215.73156666666668,57.50237500000001,358.0,6777.272727272727,,
1614786,25361249,,,,,,
91655,23123811,,,,,,
2039003,23436047,,,,,,
1720763,25317833,,,,,,
578426,18133535,561.9933666666667,320.25142000000005,346.0,1523.8181818181818,,
260297,25089151,,,,,,
933096,10565829,341.94515,27.26622000000002,365.0,816.9090909090909,,
1451338,22850797,,,,,,
691976,3043905,199.50765,175.53467,344.0,617.8181818181819,,
628373,23591689,,,,,,
476289,5596445,449.35051666666664,160.75219000000007,363.0,1532.5454545454545,,
167200,24468075,,,,,,
394923,10348379,174.99156666666667,102.694305,336.0,3927.4545454545455,,
1296158,18427947,175.11225000000002,60.59963,366.0,448.54545454545456,,
207540,21827067,283.9316666666667,67.20711999999996,295.0,986.3636363636364,,
1303333,25129631,,,,,,
1664380,21852787,65.34033333333333,63.907625,222.0,957.6363636363636,,
244590,21893321,203.99,71.50914000000002,209.0,607.4545454545455,,
